,Date,tmax,tmin,Year,DOY,tmin_corn,tmax_corn,tmin_soy,tmax_soy,tavg_corn,tavg_soy,gdd_corn,gdd_soy
1,2002-01-01 ,-8.95,-14.940000000000001,2002,1,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
2,2002-01-02 ,-6.46611111111111,-13.33,2002,2,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
3,2002-01-03 ,-1.4022222222222227,-16.02,2002,3,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
4,2002-01-04 ,5.037222222222223,-6.943888888888888,2002,4,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
5,2002-01-05 ,5.655000000000001,-4.702222222222222,2002,5,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
6,2002-01-06 ,-0.6950000000000007,-11.66,2002,6,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
7,2002-01-07 ,1.2099999999999984,-15.67,2002,7,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
8,2002-01-08 ,17.21,-3.602222222222223,2002,8,8.0,17.21,10.0,17.21,12.605,13.605,4.605,3.6050000000000004
9,2002-01-09 ,12.630000000000003,2.6111111111111125,2002,9,8.0,12.630000000000003,10.0,12.630000000000003,10.315000000000001,11.315000000000001,2.3150000000000013,1.3150000000000013
10,2002-01-10 ,3.9722222222222214,-0.3388888888888886,2002,10,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
11,2002-01-11 ,11.969999999999999,-6.497777777777778,2002,11,8.0,11.969999999999999,10.0,11.969999999999999,9.985,10.985,1.9849999999999994,0.9849999999999994
12,2002-01-12 ,5.52277777777778,-4.008888888888889,2002,12,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
13,2002-01-13 ,10.150000000000002,-3.670000000000001,2002,13,8.0,10.150000000000002,10.0,10.150000000000002,9.075000000000001,10.075000000000001,1.075000000000001,0.07500000000000107
14,2002-01-14 ,3.3199999999999994,-1.9061111111111115,2002,14,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
15,2002-01-15 ,-2.9599999999999995,-5.62611111111111,2002,15,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
16,2002-01-16 ,-3.132777777777777,-9.979999999999999,2002,16,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
17,2002-01-17 ,0.5761111111111106,-10.36,2002,17,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
18,2002-01-18 ,-4.924999999999999,-13.0,2002,18,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
19,2002-01-19 ,1.7299999999999984,-8.51,2002,19,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
20,2002-01-20 ,6.8627777777777785,-7.73,2002,20,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
21,2002-01-21 ,9.310000000000002,-8.17,2002,21,8.0,9.310000000000002,10.0,10.0,8.655000000000001,10.0,0.6550000000000011,0.0
22,2002-01-22 ,13.790000000000001,-2.781111111111111,2002,22,8.0,13.790000000000001,10.0,13.790000000000001,10.895,11.895,2.8949999999999996,1.8949999999999996
23,2002-01-23 ,1.4299999999999988,-7.930000000000001,2002,23,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
24,2002-01-24 ,7.779999999999998,-14.440000000000001,2002,24,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
25,2002-01-25 ,15.389999999999999,-6.232222222222223,2002,25,8.0,15.389999999999999,10.0,15.389999999999999,11.695,12.695,3.6950000000000003,2.6950000000000003
26,2002-01-26 ,18.919999999999998,1.3177777777777777,2002,26,8.0,18.919999999999998,10.0,18.919999999999998,13.459999999999999,14.459999999999999,5.459999999999999,4.459999999999999
27,2002-01-27 ,13.83,-3.610000000000001,2002,27,8.0,13.83,10.0,13.83,10.915,11.915,2.914999999999999,1.9149999999999991
28,2002-01-28 ,-1.772222222222223,-5.987777777777777,2002,28,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
29,2002-01-29 ,-3.3238888888888893,-6.472777777777777,2002,29,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
30,2002-01-30 ,-3.387222222222223,-8.030000000000001,2002,30,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
31,2002-01-31 ,-3.2450000000000006,-5.017777777777777,2002,31,8.0,8.0,10.0,10.0,8.0,10.0,0.0,0.0
