"","GEOID","DOY","b1","b2","lai"
"1",31007,1,1605.1,2590.5,0.27566
"2",31007,9,1687.3,2697.7,0.2757
"3",31007,17,1746.1,2761.9,0.22374
"4",31007,25,1794.8,2762.2,0.17754
"5",31007,33,1840.2,2683.2,0.075216
"6",31007,41,1748.3,2554.6,0.077058
"7",31007,49,1595.1,2583.5,0.23194
"8",31007,57,1604.4,2513,0.20688
"9",31007,65,1517.5,2437.9,0.27056
"10",31007,73,1524.4,2616.2,0.33101
"11",31007,81,1470.5,2704.9,0.4216
"12",31007,89,1339.7,2771,0.80814
"13",31007,97,1278.4,2811,0.80065
"14",31007,105,1199.2,2858.9,1.0353
"15",31007,113,1188,2902.1,1.2702
"16",31007,121,1074.5,2849.1,1.2215
"17",31007,129,1057.9,2997.4,1.2376
"18",31007,137,1014.4,3110.5,1.4393
"19",31007,145,1114.5,3009.5,1.4242
"20",31007,153,1162,2775.3,1.1433
"21",31007,161,1278.3,2631.9,0.75811
"22",31007,169,1397.1,2637.3,0.55532
"23",31007,177,1589.2,2783.9,0.42031
"24",31007,185,1751.2,2948.1,0.38565
"25",31007,193,1745.6,2841,0.26367
"26",31007,201,1814.1,2917.1,0.25227
"27",31007,209,1738.5,2827.4,0.46729
"28",31007,217,1724.2,2802.2,0.26904
"29",31007,225,1685,2778.9,0.32787
"30",31007,233,1807.4,2941.4,0.29916
"31",31007,241,1874.4,3030.1,0.30401
"32",31007,249,1822.6,2914.3,0.24627
"33",31007,257,1672,2653.7,0.34303
"34",31007,265,1786.8,2774.3,0.20034
"35",31007,273,1707.5,2635.7,0.19822
"36",31007,281,1672.4,2513.6,0.15473
"37",31007,289,1685.4,2541.5,0.13663
"38",31007,297,1591.5,2435.8,0.14777
"39",31007,305,1661.4,2519.7,0.13475
"40",31007,313,1458.4,2315,0.18816
"41",31007,321,1593.6,2483.7,0.18691
"42",31007,329,1699,2634.9,0.20236
"43",31007,337,1711.2,2627.5,0.17675
"44",31007,345,1771.5,2703,0.1715
"45",31007,353,1811.3,2698.6,0.12043
"46",31007,361,0,0,0
"47",31045,1,1481,2432.9,0.23434
"48",31045,9,1534.6,2519.6,0.29049
"49",31045,17,1370.1,2163.4,0.17781
"50",31045,25,1588.7,2480.5,0.21176
"51",31045,33,1596.1,2527.6,0.23559
"52",31045,41,1584.8,2466.3,0.21162
"53",31045,49,1586.9,2476.1,0.14778
"54",31045,57,1629.2,2518,0.1743
"55",31045,65,1342.1,2187.1,0.22469
"56",31045,73,1381.6,2383.6,0.32226
"57",31045,81,1436.2,2618.3,0.46325
"58",31045,89,1177.8,2645,0.85377
"59",31045,97,1144.6,2778.3,1.023
"60",31045,105,1111.9,3037.4,1.0255
"61",31045,113,1002,2945.9,1.4297
"62",31045,121,845.51,3131.5,1.652
"63",31045,129,838.16,2980.7,1.7269
"64",31045,137,825.76,3060.9,1.6231
"65",31045,145,836.88,2864.3,2.242
"66",31045,153,899.14,2784.5,1.3683
"67",31045,161,1035.7,2597.6,1.2195
"68",31045,169,1158.2,2445.2,0.71767
"69",31045,177,1376.9,2476.4,0.4242
"70",31045,185,1493,2587.8,0.65725
"71",31045,193,1614.1,2638.4,0.27418
"72",31045,201,1663.9,2691.1,0.3357
"73",31045,209,1590.3,2538.9,0.27546
"74",31045,217,1629.6,2599,0.23202
"75",31045,225,1622.5,2577.3,0.22248
"76",31045,233,1682.4,2640.1,0.21225
"77",31045,241,1692.5,2632.2,0.2057
"78",31045,249,1679,2642.8,0.19648
"79",31045,257,1701.9,2636.1,0.19505
"80",31045,265,1694.5,2573.7,0.18383
"81",31045,273,1737.7,2629.3,0.34817
"82",31045,281,1668.9,2486,0.11004
"83",31045,289,1822.1,2645.9,0.057545
"84",31045,297,1642.3,2443.7,0.098517
"85",31045,305,1489.8,2253.5,0.13454
"86",31045,313,1539.2,2358.9,0.23151
"87",31045,321,1500.1,2235.8,0.07385
"88",31045,329,0,0,0
"89",31045,337,1456,2146.8,0.052521
"90",31045,345,1616.7,2412.3,0.11827
"91",31045,353,1576.5,2298.6,0.045015
"92",31045,361,0,0,0
"93",31075,1,1589,2481,0.21176
"94",31075,9,1712.8,2683.4,0.22707
"95",31075,17,1803.7,2772.9,0.17125
"96",31075,25,1670,2606.6,0.21311
"97",31075,33,0,0,0
"98",31075,41,1799.9,2643.7,0.09411
"99",31075,49,1716.5,2619.9,0.16506
"100",31075,57,1593.9,2397.2,0.1082
"101",31075,65,1602,2397.5,0.099993
"102",31075,73,1587.9,2425.9,0.1473
"103",31075,81,1375.5,2256.3,0.27352
"104",31075,89,1359.1,2379.7,0.42777
"105",31075,97,1309.2,2467.3,0.52781
"106",31075,105,1161.6,2498.9,0.93742
"107",31075,113,1109.7,2544.6,1.0013
"108",31075,121,967.82,2624.1,1.2959
"109",31075,129,973.74,2647.8,1.3711
"110",31075,137,977.89,2548.9,1.3666
"111",31075,145,922.24,2534.6,1.2111
"112",31075,153,1013,2453.8,1.0131
"113",31075,161,1182.9,2500.2,0.73647
"114",31075,169,1301.2,2582.2,0.58256
"115",31075,177,1390,2541.2,2.7515
"116",31075,185,1438.2,2562.5,0.40008
"117",31075,193,1415.3,2336,0.23808
"118",31075,201,1671.7,2673,0.3051
"119",31075,209,1653.9,2616.5,0.22401
"120",31075,217,1688.9,2678,0.21073
"121",31075,225,1762.9,2717.9,0.1942
"122",31075,233,1751,2714.8,0.20823
"123",31075,241,1845.3,2808.5,0.16068
"124",31075,249,1796.9,2773.2,0.16895
"125",31075,257,1917,2931,0.19383
"126",31075,265,1881.3,2783.7,0.10393
"127",31075,273,1957.1,2910.3,0.16467
"128",31075,281,1961.8,2878.5,0.11387
"129",31075,289,2060.6,3042.2,0.12867
"130",31075,297,1920.3,2836.8,0.14061
"131",31075,305,1958.7,2933,0.1497
"132",31075,313,1838.9,2714.4,0.11626
"133",31075,321,1553.4,2158.8,4.5442
"134",31075,329,0,0,0
"135",31075,337,0,0,0
"136",31075,345,1926,2698,0.01345
"137",31075,353,0,0,0
"138",31075,361,0,0,0
"139",31113,1,1760.1,2867.5,0.29545
"140",31113,9,1781.9,2880.6,0.26779
"141",31113,17,1750.4,2862.5,0.2995
"142",31113,25,1784,2889.2,0.25399
"143",31113,33,0,0,0
"144",31113,41,0,0,0
"145",31113,49,0,0,0
"146",31113,57,1584,2559.3,0.28305
"147",31113,65,1642.6,2689.9,0.28518
"148",31113,73,1653,2846.7,0.41375
"149",31113,81,1390.4,2839.9,0.70357
"150",31113,89,1244.4,3037.3,1.1999
"151",31113,97,1175.8,3096.3,1.0752
"152",31113,105,962.66,2960.1,1.3687
"153",31113,113,796.8,2961.5,1.7067
"154",31113,121,752.38,3389.1,1.8502
"155",31113,129,781.44,3396,1.8351
"156",31113,137,776.77,3431.2,1.9124
"157",31113,145,865.83,2914.6,1.4401
"158",31113,153,966.18,2883.9,1.3674
"159",31113,161,1081.6,2819.9,1.1799
"160",31113,169,1323.4,2946,0.92594
"161",31113,177,1486.7,3193.8,0.81638
"162",31113,185,1603.7,3427,0.76458
"163",31113,193,1501.4,3175.9,0.71471
"164",31113,201,1580.4,3054.6,0.63586
"165",31113,209,1573.8,3363.6,0.79491
"166",31113,217,1209.3,2826.2,0.87441
"167",31113,225,1253.4,2879.9,0.86094
"168",31113,233,1186.1,3011.8,1.4115
"169",31113,241,1280.6,2948.2,0.93831
"170",31113,249,1359.5,3074,0.81494
"171",31113,257,1387.2,2979.7,0.87197
"172",31113,265,1476.3,2952.5,0.56897
"173",31113,273,1566.6,2881.1,0.57236
"174",31113,281,1601.2,2855,0.41602
"175",31113,289,1648.9,3001.9,0.51453
"176",31113,297,1746.3,2918.6,0.33684
"177",31113,305,1837.7,3052.6,0.2941
"178",31113,313,1726.1,3062.1,0.4799
"179",31113,321,1846.8,3031.2,0.31579
"180",31113,329,1864.6,3058,0.38181
"181",31113,337,1926.9,3023.4,0.22127
"182",31113,345,1776.6,2882.9,0.25957
"183",31113,353,2009.1,3107.9,0.212
"184",31113,361,0,0,0
"185",31185,1,1562.7,2803.1,0.46084
"186",31185,9,1750.8,2988.6,0.37934
"187",31185,17,1638.2,2835.5,0.37076
"188",31185,25,1583,2718.6,0.35369
"189",31185,33,0,0,0
"190",31185,41,0,0,0
"191",31185,49,1332.8,2342.8,0.33049
"192",31185,57,1364.2,2443.1,0.3885
"193",31185,65,1432.6,2551.7,0.43432
"194",31185,73,1260.7,2659.6,0.76501
"195",31185,81,926.31,2806.9,1.6524
"196",31185,89,839.87,3070.3,1.5873
"197",31185,97,805.76,3091.5,1.663
"198",31185,105,767.57,3160.4,1.8364
"199",31185,113,783.84,3166.4,1.8524
"200",31185,121,675.89,3074.6,1.9553
"201",31185,129,781.72,3177.1,1.591
"202",31185,137,748.67,3434.6,1.7772
"203",31185,145,687.31,2854,1.9364
"204",31185,153,910.18,2902,1.4005
"205",31185,161,919.04,2957.3,1.4514
"206",31185,169,1000.7,2814.7,1.1584
"207",31185,177,901.82,2999.7,1.5706
"208",31185,185,960.56,3032.3,1.4414
"209",31185,193,929.13,3024,1.6796
"210",31185,201,926.2,3051.4,1.5799
"211",31185,209,832.66,2941.6,1.7024
"212",31185,217,817.86,3132.9,1.7262
"213",31185,225,782.74,3285.8,1.8346
"214",31185,233,895.87,2971.8,1.3802
"215",31185,241,938.35,2777,1.7825
"216",31185,249,1039.7,2721.2,1.1586
"217",31185,257,1087.3,2606.9,0.96402
"218",31185,265,1335.7,2485.5,0.56182
"219",31185,273,1320.3,2406.7,0.4177
"220",31185,281,0,0,0
"221",31185,289,1463.1,2517.8,0.51061
"222",31185,297,1331.2,2282.8,0.31464
"223",31185,305,1340.9,2304.1,0.3066
"224",31185,313,1278.8,2281.1,0.44476
"225",31185,321,1389.7,2467,0.42754
"226",31185,329,1489.3,2502.9,0.29964
"227",31185,337,1344.6,2331.7,0.33314
"228",31185,345,1236.4,2189.5,0.39626
"229",31185,353,1211.9,2065.5,0.25824
"230",31185,361,0,0,0
"231",31005,1,1711.2,3005.9,0.48978
"232",31005,9,1814.6,3083.9,0.38041
"233",31005,17,2024.3,3284.7,0.29342
"234",31005,25,1882.8,3202.9,0.41735
"235",31005,33,0,0,0
"236",31005,41,2114,3337.4,0.54765
"237",31005,49,2109.5,3408.4,0.30895
"238",31005,57,1868.2,3053.2,0.37152
"239",31005,65,1792.2,3007.3,0.34879
"240",31005,73,1675.7,3071.8,0.50806
"241",31005,81,1514.9,3082.6,0.66863
"242",31005,89,1166.1,3302.2,1.1574
"243",31005,97,1072.7,3449.3,1.3052
"244",31005,105,1038.7,3343.6,1.2293
"245",31005,113,880.67,3667.1,2.0746
"246",31005,121,613.14,3970.3,2.1695
"247",31005,129,651.79,4060.7,1.9614
"248",31005,137,697.87,3656.7,2.0152
"249",31005,145,776.38,3482.6,1.8334
"250",31005,153,1051.8,3219.6,1.4931
"251",31005,161,1213.3,3288.9,1.1805
"252",31005,169,1174.8,3529.1,1.2785
"253",31005,177,1193,3525.9,1.2525
"254",31005,185,1219.5,3669.2,1.2746
"255",31005,193,1424.8,3049.9,0.78997
"256",31005,201,1478.9,3135.6,0.92687
"257",31005,209,1159.1,3464.3,1.2239
"258",31005,217,1169.8,3446.5,1.1276
"259",31005,225,1290.2,3478.3,1.0359
"260",31005,233,1145.9,2912.5,1.12
"261",31005,241,1128.8,3695.6,1.366
"262",31005,249,1085.4,3514.6,1.4718
"263",31005,257,1055.7,3839.1,1.4925
"264",31005,265,1260.4,3243.2,1.13
"265",31005,273,1274.8,3296.8,1.3196
"266",31005,281,1439.1,3098.3,0.71111
"267",31005,289,1379.2,3646.6,1.0179
"268",31005,297,1235.8,2969.9,1.109
"269",31005,305,1339.3,3213,1.0194
"270",31005,313,1274.3,2771.8,0.71865
"271",31005,321,1524.9,3125.1,0.65344
"272",31005,329,1560.4,3145.7,0.72551
"273",31005,337,1603.5,3069.2,0.64718
