"","GEOID","DOY","b1","b2","lai"
"1",31007,1,0,0,0
"2",31007,9,0,0,0
"3",31007,17,1590.4,2452.1,0.067015
"4",31007,25,1443.7,2255.3,0.066921
"5",31007,33,1542.2,2389.4,0.11367
"6",31007,41,1672.3,2621.3,0.36515
"7",31007,49,1455.7,2334.7,0.087954
"8",31007,57,1590.3,2473.9,0.085415
"9",31007,65,1518.8,2388.1,0.10864
"10",31007,73,1612.6,2544.6,0.10708
"11",31007,81,1564.8,2651.7,0.18453
"12",31007,89,1556.2,2597.1,0.1578
"13",31007,97,1406.7,2507,0.22108
"14",31007,105,1549.8,2711.5,0.18342
"15",31007,113,1436.8,2595.3,0.23183
"16",31007,121,1342.2,2518.1,0.24928
"17",31007,129,1209.3,2420.8,0.31519
"18",31007,137,1164.1,2527.6,0.35917
"19",31007,145,1136.7,2381.2,0.33453
"20",31007,153,1319.5,2515.7,0.31294
"21",31007,161,1225.8,2453.5,0.29651
"22",31007,169,1269.5,2607.1,0.31245
"23",31007,177,1123.5,2716,0.42664
"24",31007,185,947.76,2863.8,0.7568
"25",31007,193,785.61,3172.6,1.1975
"26",31007,201,582.73,2919.4,1.304
"27",31007,209,657.92,3403.4,1.7928
"28",31007,217,621.29,3499.7,1.5219
"29",31007,225,645.58,3448.8,2.2876
"30",31007,233,671.98,3271.5,1.5733
"31",31007,241,754.85,3306.6,1.2688
"32",31007,249,803.72,3272.6,1.4711
"33",31007,257,983.8,3277.4,0.95918
"34",31007,265,1005.4,2866.4,0.68455
"35",31007,273,1021.4,2421.5,0.50149
"36",31007,281,957.28,2090.5,0.28662
"37",31007,289,1198.1,2393,0.66808
"38",31007,297,1204.7,2305,0.24629
"39",31007,305,1461,2627.4,0.21388
"40",31007,313,1545.7,2713.1,0.2284
"41",31007,321,1727,2937.2,0.20277
"42",31007,329,1984.6,3120.7,0.17219
"43",31007,337,1536.2,2527.5,0.12466
"44",31007,345,2118.7,3401.2,0.16465
"45",31007,353,0,0,0
"46",31007,361,0,0,0
"47",31045,1,0,0,0
"48",31045,9,0,0,0
"49",31045,17,0,0,0
"50",31045,25,1587.6,2538.7,0.12421
"51",31045,33,1596.5,2515.3,0.092161
"52",31045,41,1618,2552.9,0.088825
"53",31045,49,1692.7,2656.4,0.10616
