"","GEOID","DOY","b1","b2","lai"
"1",31007,1,0,0,0
"2",31007,9,0,0,0
"3",31007,17,0,0,0
"4",31007,25,0,0,0
"5",31007,33,0,0,0
"6",31007,41,0,0,0
"7",31007,49,0,0,0
"8",31007,57,1435.3,2428.2,0.14097
"9",31007,65,1434,2459.4,0.18721
"10",31007,73,1368,2400.3,0.20854
"11",31007,81,1414.1,2571.8,0.20648
"12",31007,89,1382.5,2513.6,0.28686
"13",31007,97,1430.5,2620.3,0.24637
"14",31007,105,1249.6,2393.1,0.20953
"15",31007,113,1448.7,2809,0.33615
"16",31007,121,1242.9,2517.3,0.32156
"17",31007,129,1427.2,2667.3,0.26243
"18",31007,137,1365.7,2639.6,0.27238
"19",31007,145,1356.6,2541.5,0.4821
"20",31007,153,1389.8,2627.1,0.30689
"21",31007,161,1326.9,2611.4,0.31792
"22",31007,169,1264,2726.1,0.43925
"23",31007,177,1115.2,2732.7,0.53614
"24",31007,185,972.7,2932.1,0.86079
"25",31007,193,987.22,3223.2,1.1255
"26",31007,201,888.81,3310.5,1.0111
"27",31007,209,903.46,3329.1,1.0895
"28",31007,217,775.09,3197.6,1.5459
"29",31007,225,839.67,3156.3,1.2781
"30",31007,233,796.95,3159.3,1.3574
"31",31007,241,841.66,3133.7,3.0416
"32",31007,249,872.17,2752,0.79231
"33",31007,257,1053.8,2644,0.43019
"34",31007,265,1140,2538.3,0.39685
"35",31007,273,1285.1,2624.9,0.33287
"36",31007,281,1436.5,2674.1,0.30328
"37",31007,289,1670,2889.9,0.20601
"38",31007,297,1905.1,3184.4,0.58956
"39",31007,305,1985,3294.3,0.1709
"40",31007,313,2056.5,3346.3,0.16328
"41",31007,321,2055.8,3325.8,0.14225
"42",31007,329,2039,3228.6,0.14244
"43",31007,337,1985.5,3127.7,0.14224
"44",31007,345,2240.6,3432.1,0.1218
"45",31007,353,2048.5,3145.8,0.10004
"46",31007,361,2472.4,3650,0.089738
"47",31045,1,0,0,0
"48",31045,9,0,0,0
"49",31045,17,0,0,0
"50",31045,25,1625,2379,0.030315
"51",31045,33,0,0,0
"52",31045,41,1367.6,2188.2,0.094446
"53",31045,49,1367.6,2188.2,0.094446
"54",31045,57,1369.6,2235,0.095547
"55",31045,65,1300.8,2175.2,0.10923
