"","GEOID","DOY","b1","b2","lai"
"1",31007,1,0,0,0
"2",31007,9,0,0,0
"3",31007,17,0,0,0
"4",31007,25,0,0,0
"5",31007,33,0,0,0
"6",31007,41,1365.4,2621.3,0.58509
"7",31007,49,1365.4,2621.3,0.58509
"8",31007,57,1228.6,2690,0.81821
"9",31007,65,1182.4,2634.7,0.92927
"10",31007,73,1120.5,2685.3,1.2041
"11",31007,81,1073.1,2842.1,1.2177
"12",31007,89,1044.1,2880.2,1.0941
"13",31007,97,1081.4,2926.1,1.2577
"14",31007,105,855.86,2772.6,1.6228
"15",31007,113,1003.3,3168.4,1.4129
"16",31007,121,836.39,2965.2,1.7681
"17",31007,129,825.1,3301.4,1.6295
"18",31007,137,794.88,3267.3,1.5621
"19",31007,145,760.46,2973.1,1.9903
"20",31007,153,787.53,2992,1.5949
"21",31007,161,787.79,2841.6,1.8532
"22",31007,169,944.85,2823,1.3038
"23",31007,177,990.18,2610.9,1.3113
"24",31007,185,1146.6,2306.7,0.64699
"25",31007,193,1460.9,2746.1,0.55151
"26",31007,201,1623,2881.5,0.51628
"27",31007,209,1623.2,2898.4,0.46934
"28",31007,217,1481.4,2606.8,0.39638
"29",31007,225,1481.3,2611.2,0.3841
"30",31007,233,1315.3,2380.3,0.45304
"31",31007,241,1287.7,2454.2,0.55833
"32",31007,249,1240.9,2288.2,0.49551
"33",31007,257,1263,2286.4,0.45369
"34",31007,265,1251.8,2313.3,0.42001
"35",31007,273,1303.9,2457.2,0.53122
"36",31007,281,1303,2444.4,0.53273
"37",31007,289,1383.6,2482.2,0.55296
"38",31007,297,1517.6,2686.5,0.43756
"39",31007,305,1450.2,2603.7,0.46403
"40",31007,313,1467.5,2600.7,0.49124
"41",31007,321,1736,2853.3,0.27271
"42",31007,329,1570.4,2638.5,0.44847
"43",31007,337,1501.5,2524.5,0.42004
"44",31007,345,1654.5,2689.4,0.27488
"45",31007,353,1508.6,2453.2,0.23213
"46",31007,361,1776.5,2828.8,0.2511
"47",31045,1,0,0,0
"48",31045,9,0,0,0
"49",31045,17,0,0,0
"50",31045,25,1556.4,2443.5,0.19591
"51",31045,33,0,0,0
"52",31045,41,1078.3,2042.6,0.47861
"53",31045,49,1078.3,2042.6,0.47861
