doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
2,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
3,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
4,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
5,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
6,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
7,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
8,1943.346,2122.154,2524.854,2082.192,NA,2231.303,NA,NA,2207.84,NA,NA,2415.873,NA,NA,NA,NA
9,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
10,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
11,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
12,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
13,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
14,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
15,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
16,NA,2106.061,2374.674,2040.485,NA,2383.718,2396.497,NA,NA,NA,NA,2126.745,NA,2371.658,2300.103,NA
17,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
18,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
19,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
20,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
21,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
22,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
23,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
24,2275.866,2113.903,NA,2012.021,NA,2294.777,NA,NA,2156.183,NA,NA,1997.739,2055.014,2034.493,2268.671,NA
25,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
26,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
27,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
28,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
29,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
30,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
31,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
32,NA,2051.79,NA,NA,NA,2311.014,NA,NA,1816.726,NA,NA,2150.347,2270.125,2261.613,2318.409,NA
33,NA,NA,NA,NA,2225.725,2407.442,NA,NA,1903.115,NA,NA,NA,2689.988,NA,NA,NA
34,NA,NA,NA,NA,2225.725,2407.442,NA,NA,1903.115,NA,NA,NA,2689.988,NA,NA,NA
35,NA,NA,NA,NA,2225.725,2407.442,NA,NA,1903.115,NA,NA,NA,2689.988,NA,NA,NA
36,NA,NA,NA,NA,2225.725,2407.442,NA,NA,1903.115,NA,NA,NA,2689.988,NA,NA,NA
37,NA,NA,NA,NA,2225.725,2407.442,NA,NA,1903.115,NA,NA,NA,2689.988,NA,NA,NA
38,NA,NA,NA,NA,2225.725,2407.442,NA,NA,1903.115,NA,NA,NA,2689.988,NA,NA,NA
