"","doy","2002_NDVI","2003_NDVI","2004_NDVI","2005_NDVI","2006_NDVI","2007_NDVI","2008_NDVI","2009_NDVI","2010_NDVI","2011_NDVI","2012_NDVI","2013_NDVI","2014_NDVI","2015_NDVI"
"1",113,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"2",114,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"3",115,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"4",116,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"5",117,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"6",118,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"7",119,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"8",120,NA,2707,2499,NA,2409,2784,2736,2340,2552,2521,2440,NA,1590,2308
"9",121,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"10",122,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"11",123,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"12",124,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"13",125,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"14",126,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"15",127,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"16",128,NA,2808,2889,2413,2360,2710,NA,2480,2607,2472,NA,2714,2027,3101
"17",129,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"18",130,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"19",131,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"20",132,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"21",133,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"22",134,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"23",135,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"24",136,2516,2753,NA,NA,2387,2647,NA,NA,2830,2613,2848,2577,843,2467
"25",137,2649,2792,1239,2716,NA,2891,2516,NA,NA,2529,NA,1875,2419,3190
"26",138,2649,2792,1239,2716,NA,2891,2516,NA,NA,2529,NA,1875,2419,3190
