,green,sen,GEOIDS
1,180,248,31007
2,177,252,31045
3,0,0,31075
4,177,254,31113
5,157,254,31185
6,176,255,31005
7,177,255,31071
8,176,254,31101
9,156,248,31151
10,155,253,31059
11,170,254,31119
12,176,251,31183
13,174,252,31009
14,161,281,31091
15,181,254,31115
16,170,254,31003
17,166,252,31027
18,171,256,31029
19,156,254,31035
20,157,252,31039
21,183,251,31049
22,164,251,31051
23,168,251,31057
24,169,248,31063
25,156,244,31067
26,172,251,31077
27,157,252,31093
28,182,253,31123
29,154,232,31133
30,164,257,31139
31,180,254,31149
32,162,252,31163
33,156,253,31169
34,165,251,31179
35,162,255,31061
36,161,247,31065
37,180,253,31069
38,154,255,31079
39,174,253,31085
40,156,253,31001
41,174,255,31011
42,177,245,31015
43,169,250,31089
44,155,243,31095
45,159,256,31099
46,184,253,31105
47,181,257,31117
48,159,253,31125
49,156,242,31127
50,178,251,31135
51,156,253,31137
52,185,255,31157
53,180,258,31161
54,160,252,31167
55,180,254,31171
56,157,252,31177
57,180,253,31013
58,156,249,31025
59,177,259,31031
60,157,250,31037
61,161,253,31047
62,155,253,31053
63,172,248,31087
64,173,260,31103
65,173,252,31111
66,157,252,31121
67,158,246,31129
68,158,255,31143
69,170,246,31145
70,158,252,31155
71,158,252,31159
72,186,254,31165
73,161,253,31173
74,176,258,31017
75,172,254,31041
76,169,251,31107
77,155,251,31021
78,157,256,31081
79,158,243,31109
80,153,254,31141
81,158,249,31181
82,181,254,31033
83,155,250,31055
84,157,244,31097
85,157,248,31153
86,157,251,31043
87,157,245,31131
88,155,235,31147
89,157,254,31023
90,158,251,31083
91,160,251,31073
92,170,252,31175
93,157,252,31019
