"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",1,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"2",2,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"3",3,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"4",4,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"5",5,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"6",6,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"7",7,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"8",8,NA,1966.94748522696,2611.94390439228,2143.93144097834,NA,2316.25636942504,NA,NA,NA,NA,NA,2344.79596885451,NA,NA,NA,NA
"9",9,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"10",10,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"11",11,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"12",12,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"13",13,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"14",14,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"15",15,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"16",16,NA,2115.09141400919,2368.64106012921,1998.10225860705,NA,2213.86219638627,2257.49559082892,NA,NA,NA,NA,2234.55111749645,NA,2244.14858994355,2542.99472598028,NA
"17",17,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"18",18,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"19",19,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"20",20,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"21",21,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"22",22,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"23",23,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"24",24,2310.96580893537,2093.54674400323,NA,1822.84640652732,NA,2337.0993278746,NA,NA,NA,NA,NA,1924.49355432781,2192.66844372422,1995.30164661657,2506.18116430659,NA
"25",25,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"26",26,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"27",27,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"28",28,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"29",29,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"30",30,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"31",31,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"32",32,NA,2181.03000323353,NA,NA,NA,2133.25541352694,NA,NA,NA,NA,NA,2184.37196985737,2442.72228212815,2212.96386600553,2541.98297676559,NA
"33",33,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"34",34,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"35",35,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"36",36,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"37",37,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"38",38,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"39",39,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"40",40,NA,NA,NA,NA,1959.78085938562,2344.85968327327,NA,NA,NA,NA,NA,NA,2085.64631245044,NA,NA,NA
"41",41,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"42",42,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"43",43,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"44",44,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"45",45,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"46",46,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"47",47,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"48",48,NA,2104.72923813972,NA,NA,2386.72759554564,2228.21908457898,NA,NA,NA,NA,2014.80954660553,NA,2684.54573867588,2199.71356874973,NA,NA
"49",49,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"50",50,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
"51",51,NA,1995.27756525342,2233.51576752671,NA,2253.76565692335,2185.213398899,2524.7311827957,NA,NA,NA,2433.7273513525,2358.04452907809,2552.67056638682,2193.95155471669,NA,NA
