"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1",1,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"2",2,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"3",3,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"4",4,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"5",5,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"6",6,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"7",7,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"8",8,NA,2281.79387621862,2203.1265819734,2354.94454548698,NA,NA,NA,NA,1947.8974414649,NA,NA,2396.46380897107,NA,NA,NA,NA
"9",9,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"10",10,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"11",11,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"12",12,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"13",13,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"14",14,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"15",15,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"16",16,NA,2424.90718866015,2205.7585057545,2284.72383876387,NA,NA,NA,NA,NA,NA,NA,2201.90534726489,NA,NA,1846.78132745236,NA
"17",17,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"18",18,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"19",19,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"20",20,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"21",21,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"22",22,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"23",23,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"24",24,2627.38367953724,2358.84083751762,NA,2207.0593985746,NA,NA,NA,NA,2037.19404136278,NA,NA,2162.7114168643,1976.25006600578,2247.42268041237,2081.28816469376,NA
"25",25,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"26",26,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"27",27,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"28",28,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"29",29,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"30",30,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"31",31,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"32",32,NA,2223.42997586979,NA,NA,NA,NA,NA,NA,1950.37381357942,NA,NA,NA,NA,2269.70560303894,2030.03429222391,NA
"33",33,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"34",34,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"35",35,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"36",36,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"37",37,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"38",38,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"39",39,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
"40",40,NA,NA,NA,NA,2240.18392748151,NA,NA,NA,1944.40575996436,NA,NA,NA,2023.38812100926,NA,NA,NA
