,green,sen,GEOIDS
1,186,263,31007
2,185,264,31045
3,0,0,31075
4,170,271,31113
5,157,260,31185
6,181,266,31005
7,168,275,31071
8,171,273,31101
9,156,254,31151
10,156,258,31059
11,163,263,31119
12,167,272,31183
13,186,273,31009
14,0,0,31091
15,169,271,31115
16,164,265,31003
17,164,267,31027
18,171,261,31029
19,159,260,31035
20,163,262,31039
21,180,273,31049
22,163,265,31051
23,171,273,31057
24,168,276,31063
25,156,252,31067
26,166,273,31077
27,161,264,31093
28,186,268,31123
29,155,250,31133
30,164,267,31139
31,170,275,31149
32,163,268,31163
33,157,254,31169
34,164,271,31179
35,161,255,31061
36,166,253,31065
37,180,269,31069
38,159,257,31079
39,167,274,31085
40,158,259,31001
41,164,265,31011
42,168,258,31015
43,166,271,31089
44,159,252,31095
45,159,255,31099
46,186,268,31105
47,178,268,31117
48,161,260,31125
49,153,252,31127
50,176,268,31135
51,159,254,31137
52,186,265,31157
53,182,269,31161
54,163,262,31167
55,182,275,31171
56,160,256,31177
57,184,268,31013
58,156,253,31025
59,176,268,31031
60,160,262,31037
61,162,275,31047
62,158,258,31053
63,176,269,31087
64,170,278,31103
65,168,273,31111
66,158,257,31121
67,160,255,31129
68,158,255,31143
69,168,269,31145
70,157,257,31155
71,157,256,31159
72,184,264,31165
73,162,261,31173
74,170,280,31017
75,168,274,31041
76,167,266,31107
77,160,258,31021
78,158,261,31081
79,156,253,31109
80,159,261,31141
81,160,254,31181
82,183,272,31033
83,158,255,31055
84,153,251,31097
85,158,253,31153
86,161,262,31043
87,155,252,31131
88,155,253,31147
89,158,257,31023
90,160,255,31083
91,162,280,31073
92,166,274,31175
93,162,270,31019
