,green,sen,GEOIDS
1,0,0,31007
2,0,0,31045
3,0,0,31075
4,174,251,31113
5,166,246,31185
6,0,0,31005
7,173,254,31071
8,177,251,31101
9,165,253,31151
10,167,248,31059
11,173,246,31119
12,174,252,31183
13,175,235,31009
14,0,0,31091
15,174,255,31115
16,174,250,31003
17,172,246,31027
18,178,253,31029
19,171,250,31035
20,167,245,31039
21,0,0,31049
22,169,244,31051
23,181,256,31057
24,176,250,31063
25,165,258,31067
26,173,253,31077
27,172,251,31093
28,204,258,31123
29,169,261,31133
30,172,248,31139
31,172,250,31149
32,172,249,31163
33,168,253,31169
34,168,244,31179
35,172,250,31061
36,176,250,31065
37,177,254,31069
38,169,247,31079
39,176,254,31085
40,170,248,31001
41,173,248,31011
42,170,243,31015
43,170,249,31089
44,167,256,31095
45,171,248,31099
46,0,0,31105
47,182,256,31117
48,171,246,31125
49,164,263,31127
50,180,253,31135
51,170,249,31137
52,0,0,31157
53,0,0,31161
54,168,245,31167
55,0,0,31171
56,167,252,31177
57,178,232,31013
58,165,260,31025
59,172,253,31031
60,169,246,31037
61,171,251,31047
62,168,250,31053
63,174,252,31087
64,178,254,31103
65,174,252,31111
66,166,250,31121
67,169,248,31129
68,167,246,31143
69,176,251,31145
70,166,253,31155
71,166,247,31159
72,0,0,31165
73,168,248,31173
74,174,253,31017
75,173,253,31041
76,171,245,31107
77,169,251,31021
78,166,245,31081
79,165,257,31109
80,169,245,31141
81,172,247,31181
82,180,262,31033
83,166,255,31055
84,163,263,31097
85,166,255,31153
86,168,248,31043
87,164,259,31131
88,165,264,31147
89,167,247,31023
90,173,247,31083
91,173,250,31073
92,172,253,31175
93,171,249,31019
